Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00527433135844615,-0.045,0.00686759636192835,0,0,0,0.13617029881095,9.30040649361772E-05,-6.06049330100587E-21,-1.51918864165113E-06,0.000262148841288,6.30331294151636E-21,0.000352490055892557,0,0,0,0,0,0,package://slam_car/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/base_link.STL,,车体-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_w,-6.73072708679001E-16,-2.16840434497101E-17,-0.0242105263157896,0,0,0,0.00746128255227575,5.5392315369987E-07,-2.76044742654947E-39,1.58714800464317E-21,5.5392315369987E-07,0,7.96442825070225E-07,0,0,0,0,0,0,package://slam_car/meshes/lf_w.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/lf_w.STL,,车轮-1,Origin_lf_j,Axis_lf_j,lf_j,continuous,-0.0566191120777502,-0.0750000000000003,0.00669432926045225,1.5707963267949,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
lb_w,-6.38378239159465E-16,1.47451495458029E-17,-0.0242105263157896,0,0,0,0.00746128255227575,5.53923153699869E-07,4.09513857735467E-39,1.46564131977541E-21,5.53923153699869E-07,1.14794370197489E-38,7.96442825070224E-07,0,0,0,0,0,0,package://slam_car/meshes/lb_w.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/lb_w.STL,,车轮-2,Origin_lb_j,Axis_lb_j,lb_j,continuous,0.0433808879222498,-0.0749999999999997,0.00669432926045225,1.5707963267949,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
rf_w,0,-8.67361737988404E-19,-0.00921052631578944,0,0,0,0.00746128255227576,5.5392315369987E-07,-3.13013882834049E-39,-1.50647647604789E-22,5.5392315369987E-07,-4.23592720358353E-40,7.96442825070225E-07,0,0,0,0,0,0,package://slam_car/meshes/rf_w.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/rf_w.STL,,车轮-3,Origin_rf_j,Axis_rf_j,rf_j,continuous,-0.0566191120777502,0,0.00669432926045225,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,
rb_w,0,-8.6736E-19,-0.0092105,0,0,0,0.0074613,5.5392E-07,-3.1301E-39,-1.5065E-22,5.5392E-07,-4.2359E-40,7.9644E-07,0,0,0,0,0,0,package://slam_car/meshes/rb_w.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/rb_w.STL,,车轮-4,Origin_rb_j,Axis_rb_j,rb_j,continuous,0.043381,0,0.0066943,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
LiDAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://slam_car/meshes/LiDAR.STL,1,1,1,1,0,0,0,0,0,0,package://slam_car/meshes/LiDAR.STL,,mid-360激光雷达-1,Origin_LiDAR_j,,LiDAR_j,fixed,-0.025619,-0.045,0.037611,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
